SpeciesStrength,Status
0.66,Non-native 
0.04,Endemic
3.853333333,Endemic
3.33,Non-native 
0.01,Non-native 
0.13,Non-native 
0.16,Endemic
6,Non-native 
2.45,Non-native 
0.51,Non-native 
0.51,Non-native 
0.51,Non-native 
1.21,Non-native 
1.8625,Non-native 
0.31,Non-native 
2.53,Non-native 
0.05,Non-native 
